coreid,mofid-v1,mofid-v2,LCD_(Å),PLD_(Å),LFPD_(Å),Density_(g/cm3),ASA_(A2),ASA_(m2/cm3),ASA_(m2/g),NASA_(A2),NASA_(m2/cm3),NASA_(m2/g),PV_(A3),VF,PV_(cm3/g),NAV_(A3),NPV_(cm3/g),structure_dimension,topology(SingleNodes),topology(AllNodes),catenation,dimension_by_topo,hall,number_spacegroup,Metal_Types,Has_OMS,OMS_Types,average_atomic_mass,Heat_capacity@300K_(J/g/K),Heat_capacity@350K_(J/g/K),Heat_capacity@400K_(J/g/K),natoms,Thermal_stability_(°C),Solvent_stability,Water_stability,KH_Classes,category
2020[Ni][sql]2[FSR]7,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH2][Ni][OH2].n1ccc(cc1)c1ccncc1 MOFid-v1.sql.cat1;QEQYET_FSR_pacman,,7.10505,5.38712,7.06996,0.981708,855.068,1466.02,1493.34,0.0,0.0,0.0,3375.89,0.5788,0.589585,0.0,0.0,2,sql,sql,2,2,-P 2ybc,14,Ni,No,,9.79596,0.946211025,1.055050562,1.106709697,352,402.4,0.9265861,0.540043011,weak,weak&stable
2020[Ni][sql]2[FSR]8,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH2][Ni][OH2].n1ccc(cc1)c1ccncc1 MOFid-v1.sql.cat1;QEQYIX_FSR_pacman,,7.14376,5.37002,7.13314,0.974124,882.359,1501.13,1541.0,0.0,0.0,0.0,3442.15,0.5856,0.601156,0.0,0.0,2,sql,sql,2,2,P 62 2c (0 0 1),180,Ni,No,,9.79596,0.951156328,1.047779768,1.10353401,352,402.5,0.9262297,0.540043011,weak,weak&stable
2020[Pr][pts]3[FSR]1,O=[C]1=NC2=N[C](=[N]=C3N2C(=N[C](=O)=N3)[N]1)=O.O=[C]1=NC2=[N]=[C](=O)N=C3N2C(=[N]=[C](=O)[N]3)[N]1.[OH2][Pr][OH2] MOFid-v1.pts.cat0;am0c15395_si_003_FSR_pacman,,5.58351,5.46174,5.58351,1.72802,202.303,1332.26,770.978,0.0,0.0,0.0,779.595,0.5134,0.297104,0.0,0.0,3,pts-x,pts-x,1,3,-P 2c 2b,57,Pr,No,,17.1759787,0.635995559,0.702229401,0.748491064,92,397.5,0.7314103,0.59,weak,weak&stable
2020[Tb][nan]3[ASR]2,unknown,[C8O16Tb2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;c9dt00217k2_2_ASR_pacman,7.20833,6.38384,7.20814,1.27052,577.242,1517.3,1194.23,0.0,0.0,0.0,2252.97,0.5922,0.466108,0.0,0.0,3,unknown,unknown,1,3,"P 31 2""",152,Tb,No,,15.64965774,0.676248932,0.749199259,0.797813998,186,465,0.11549285,0.697692308,weak,weak&stable
2020[Tb][nan]3[ASR]3,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Tb] MOFid-v1.tsa.cat0;COTXUH_ASR_pacman,[Tb2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch2][Ring1][#Branch2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.tsa.cat0;COTXUH_ASR_pacman,6.21875,5.28509,6.20539,1.27863,211.618,1069.85,836.714,0.0,0.0,0.0,962.503,0.4866,0.380563,0.0,0.0,3,unknown,unknown,1,3,C -2yc,9,Tb,No,,10.72586352,0.816395776,0.927337891,0.982535524,142,405.8,0.8735224,0.61,weak,weak&stable
2020[Tb][nan]3[ASR]6,[O-]C(=O)c1ccnc(c1)C(=O)[O-].[OH].[Tb] MOFid-v1.unknown.cat0;SUQSUV_ASR_pacman,[Tb4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[OH1] MOFid-v2.UNKNOWN.cat0;SUQSUV_ASR_pacman,5.26492,5.02927,5.24874,2.33406,147.49,759.863,325.553,0.0,0.0,0.0,732.535,0.3774,0.161692,0.0,0.0,3,unknown,unknown,1,3,-P 2ybc,14,Tb,No,,18.94642833,0.579695532,0.650094221,0.68844951,144,428.4,0.67979175,0.61,weak,weak&stable
2020[Tb][nan]3[FSR]4,[O-]C(=O)c1c(F)cc(cc1F)c1cc(F)c(c(c1)F)C(=O)[O-].[OH2][Tb].[Tb] MOFid-v1.unknown.cat0;NUMSEW_FSR_pacman,,9.07373,8.53161,9.07373,1.21261,1125.59,1615.01,1331.84,0.0,0.0,0.0,4243.07,0.6088,0.502056,0.0,0.0,3,unknown,unknown,1,3,-P 2ybc,14,Tb,No,,15.32993131,0.693470578,0.779398207,0.833398959,332,442.9,0.77115214,0.73,weak,weak&stable
2020[Tb][pcu]3[ASR]2,[O-]C(=O)c1ccc(cc1)CN1[CH]C=C(C=C1)c1ccc(cc1)C(=O)[O-].[O-]C=O.[Tb] MOFid-v1.pcu.cat1;GUDFOD_ASR_pacman,[C4O8Tb1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][CH1][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[O-1][C][=O] MOFid-v2.pcu.cat1;GUDFOD_ASR_pacman,9.70057,9.46626,9.67815,1.18088,474.047,970.266,821.649,0.0,0.0,0.0,2594.33,0.531,0.449666,0.0,0.0,3,pcu,pcu,2,3,-P 2ac 2n,62,Tb,No,,10.46508084,0.850731528,0.935690141,0.984286605,332,419,0.19248521,0.5605,weak,weak&stable
2020[U][hcb]2[FSR]1,[O-]C(=O)CCn1c(=O)n(CCC(=O)[O-])c(=O)n(c1=O)CCC(=O)[O-].[O][U][O] MOFid-v1.hcb.cat1;BUNPAE_FSR_pacman,,6.47853,5.68572,6.47425,1.61049,345.18,1366.95,848.78,0.0,0.0,0.0,1367.64,0.5416,0.336295,0.0,0.0,2,hcb,hcb,2,2,F 2 2 3,196,U,No,,15.69913051,0.673796239,0.740349607,0.775148325,156,268.7,0.37972698,0.639411765,weak,weak&stable
2020[V][nan]3[ASR]1,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[OH].[V] MOFid-v1.unknown.cat0;ja0c06414_si_002_ASR_pacman,[V4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1].[OH1] MOFid-v2.UNKNOWN.cat0;ja0c06414_si_002_ASR_pacman,7.13415,6.98216,7.13415,1.11033,228.589,1653.78,1489.45,0.0,0.0,0.0,833.479,0.603,0.543083,0.0,0.0,3,unknown,unknown,1,3,I 4bw 2bw,98,V,No,,12.83643667,0.834481843,0.932236841,1.016523236,72,538,0.68644947,0.637032967,weak,weak&stable
