coreid,mofid-v1,mofid-v2,LCD_(Å),PLD_(Å),LFPD_(Å),Density_(g/cm3),ASA_(A2),ASA_(m2/cm3),ASA_(m2/g),NASA_(A2),NASA_(m2/cm3),NASA_(m2/g),PV_(A3),VF,PV_(cm3/g),NAV_(A3),NPV_(cm3/g),structure_dimension,topology(SingleNodes),topology(AllNodes),catenation,dimension_by_topo,hall,number_spacegroup,Metal_Types,Has_OMS,OMS_Types,average_atomic_mass,Heat_capacity@300K_(J/g/K),Heat_capacity@350K_(J/g/K),Heat_capacity@400K_(J/g/K),natoms,Thermal_stability_(°C),Solvent_stability,Water_stability,KH_Classes,category
0000[Cd][nan]3[ASR]2,[Cd].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].n1ccc(cc1)c1ccncc1 MOFid-v1.unknown.cat0;EBEVAK_ASR_pacman,[C3Cd1O6_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch2][Ring1][#Branch1][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1] MOFid-v2.UNKNOWN.cat0;EBEVAK_ASR_pacman,7.55204,6.31126,7.55204,1.0416,1131.54,1417.47,1360.86,0.0,0.0,0.0,4551.78,0.5702,0.547426,0.0,0.0,3,unknown,unknown,3,3,-P 2ybc,14,Cd,No,,10.60859932,0.853248699,0.966411357,1.026663694,472,366.4,0.9004278,0.63,strong,strong&stable
0000[Cd][nan]3[ASR]6,unknown,[C6Cd3O12_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch2][Ring1][#C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;OKOSUE_ASR_pacman,8.85165,8.03949,8.85165,0.943259,1422.97,2013.15,2134.25,0.0,0.0,0.0,4796.58,0.6786,0.71942,0.0,0.0,3,unknown,unknown,1,3,-C 2yc,15,Cd,Yes,Cd,14.13768056,0.693754066,0.775323942,0.823084227,284,413.3,0.9698975,0.709692308,strong,strong&stable
0000[Cd][nan]3[FSR]1,[Cd].[O-]C(=O)c1cc(cc(c1)c1ccc2c(c1)ccc(c2)C(=O)[O-])C(=O)[O-].[OH2][Cd].[OH2][Cd][OH2] MOFid-v1.unknown.cat0;OKOSUE_FSR_pacman,,8.85165,6.71251,8.82997,0.994046,1473.44,2084.56,2097.04,0.0,0.0,0.0,4629.77,0.655,0.658923,0.0,0.0,3,unknown,unknown,1,3,-P 2ybc,14,Cd,No,,13.2227645,0.742192821,0.833212075,0.877595566,320,466.2,0.904943,0.757692308,strong,strong&stable
0000[Co][nan]2[ASR]4,Clc1ccc(cc1NC1=NC(=[N]=C([N]1)Nc1cc(ccc1Cl)C(=O)[O-])Nc1cc(ccc1Cl)C(=O)[O-])C(=O)[O-].[Co][O]([Co])[Co] MOFid-v1.ERROR.cat1;VUCHIN_ASR_pacman,unknown,6.67327,5.00301,5.71859,1.02819,729.418,1652.8,1607.49,0.0480765,0.108937,0.105951,2700.01,0.6118,0.595029,0.0,0.0,2,mismatch,mismatch,2,3,P -6c -2c,190,Co,Yes,Co,12.88956929,0.824055006,0.924197889,0.979817029,212,354.6,0.8785689,0.72,strong,strong&stable
0000[Cu][nbo]3[ASR]1,[Cu].[O-]C(=O)C1=NN=C([N]1)N MOFid-v1.nbo-a.cat0;JOFKIA01_ASR_pacman,[Cu1_Type-1].[O-1][C][=Branch1][C][=O][C][=N][N][=C][Branch1][Ring2][NH0][Ring1][Branch1][N] MOFid-v2.nbo-a.cat0;JOFKIA01_ASR_pacman,6.88447,5.08381,6.88447,1.58969,139.148,1170.86,736.531,0.0,0.0,0.0,621.549,0.523,0.328995,0.0,0.0,3,nbo-a,nbo-a,1,2,-R 3,148,Cu,Yes,Cu,15.80163167,0.725837174,0.815038359,0.861449951,72,274.7,0.73982,0.758571429,strong_high_loading,strong&stable
0000[CuSi][pcu]3[ASR]1,[Cu].n1ccc(cc1)c1ccncc1 MOFid-v1.sql.cat1;EMEJAJ_ASR_pacman,unknown,8.33992,7.3296,8.33992,0.875377,340.589,1733.09,1979.82,0.0,0.0,0.0,1273.46,0.648,0.740252,0.0,0.0,3,pcu,pcu,1,3,-P 4 2c,124,"Cu,Si",No,,10.79145332,0.905987941,1.035537941,1.149338201,96,280,0.4849925,0.531052632,strong,strong&stable
0000[CuTb][stp]3[ASR]1,[Cu].[O-]C(=O)CNCC(=O)[O-].[Tb] MOFid-v1.unknown.cat0;PAPROO_ASR_pacman,[Cu1_Type-1].[Tb1_Type-1].[O-1][C][=Branch1][C][=O][C][N][C][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;PAPROO_ASR_pacman,7.19025,5.05276,7.19025,1.91608,193.979,864.204,451.028,0.0,0.0,0.0,989.419,0.4408,0.230053,0.0,0.0,3,stp,stp,1,3,"-P 3 2""c",165,"Cu,Tb",No,,14.55066854,0.722059688,0.756425551,0.810561642,178,206.5,0.2855489,0.52,strong,strong&stable
0000[In][sql]2[ASR]1,unknown,[C4In1O8_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch1][=Branch2][=C][C][=C][Ring1][=Branch1][NH1][Ring1][#Branch2][C][=Branch1][C][=O][O-1] MOFid-v2.sql.cat1;AJUCOA_ASR_pacman,12.0793,6.26657,12.07484,0.737204,2490.48,2272.23,3082.23,0.0,0.0,0.0,7834.56,0.7148,0.96961,0.0,0.0,2,sql,sql,2,3,I 4bw 2bw -1bw,141,In,No,,11.4762,0.817252031,0.915943697,0.963602398,424,325.2,0.796816,0.799411765,strong,strong&stable
0000[Lu][lcy]3[ASR]1,unknown,[C6H4Lu4O16_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.lcy.cat1;c5dt03091a2_3_ASR_pacman,12.44548,7.05215,12.44315,0.89958,5088.19,2003.49,2227.14,0.0,0.0,0.0,18458.3,0.7268,0.807932,0.0,0.0,3,lcy,lcy,2,3,-P 2ac 2ab 3,205,Lu,No,,14.69898615,0.614658814,0.689120532,0.72561464,936,406.6,0.28268898,0.66,strong,strong&stable
0000[Mn][nan]3[ASR]1,[Mn].[Mn][Mn].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.unknown.cat0;CIBTIT_ASR_pacman,[C4Mn2O8_Type-2].[Mn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;CIBTIT_ASR_pacman,6.58028,5.92059,6.24494,1.027,820.729,2191.53,2133.91,0.0,0.0,0.0,2371.33,0.6332,0.616551,0.0,0.0,3,unknown,unknown,1,3,-P 1,2,Mn,Yes,Mn,14.84736346,0.790914113,0.863759921,0.926208996,156,445.1,0.77902126,0.60625,strong,strong&stable
0000[Mn][nan]3[ASR]2,[Mn].[O-]C(=O)C1=C([N]N=N1)C(=O)[O-].[O-]C(=O)C1=NN=N[C]1C(=O)[O-].n1ccc(cc1)c1ccncc1 MOFid-v1.unknown.cat0;YAGJOI_ASR_pacman,[Mn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][Branch1][=Branch1][NH0][N][=N][Ring1][Branch1][C][=Branch1][C][=O][O-1].[O-1][C][=Branch1][C][=O][C][=N][N][=N][CH0][Ring1][Branch1][C][=Branch1][C][=O][O-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1] MOFid-v2.UNKNOWN.cat0;YAGJOI_ASR_pacman,5.63288,5.50957,5.62983,1.07586,223.878,1540.62,1431.99,0.0,0.0,0.0,803.307,0.5528,0.513822,0.0,0.0,3,unknown,unknown,1,3,-P 1,2,Mn,No,,11.07631641,0.874673152,0.971573879,1.026224633,85,272.3,0.81508577,0.515376344,strong,strong&stable
0000[Mn][nan]3[ASR]3,O=C(Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-].[Mn] MOFid-v1.unknown.cat0;YEKJAC_ASR_pacman,[Mn2_Type-1].[O][=C][Branch1][P][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;YEKJAC_ASR_pacman,9.07802,7.95728,9.0596,0.908834,412.794,1599.18,1759.6,0.0,0.0,0.0,1624.66,0.6294,0.692535,0.0,0.0,3,unknown,unknown,1,3,-P 1,2,Mn,Yes,Mn,10.70267712,0.910486559,1.024082628,1.077099204,132,408.4,0.7883096,0.778,strong,strong&stable
0000[Ni][pcu]3[ASR]3,[Ni].[O-]C(=O)c1cnccc1C(=O)[O-].c1ncn(c1)c1ccc(s1)n1cncc1 MOFid-v1.ERROR.cat0;WOWNED_ASR_pacman,[C4Ni2O8_Type-1].[O-1][C][=Branch1][C][=O][C][=C][N][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[C][N][=C][N][Branch1][Ring2][C][=Ring1][Branch1][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][N][C][=N][C][=C][Ring1][Branch1] MOFid-v2.ERROR.cat0;WOWNED_ASR_pacman,6.39395,5.51497,6.3778,1.41166,174.042,840.541,595.426,0.0,0.0,0.0,903.193,0.4362,0.308997,0.0,0.0,3,pcu,pcu,1,3,-C 2yc,15,Ni,No,,11.28355744,0.874000416,0.984475234,1.029610163,156,312.7,0.8678719,0.73047619,strong,strong&stable
0000[Tb][nan]3[ASR]3,[O-]C(=O)c1nc(cc(c1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)O.[Tb][OH2][Tb] MOFid-v1.unknown.cat0;LUFYUJ_ASR_pacman,[C8H4O17Tb2_Type-1].[O-1][C][=Branch1][C][=O][C][=N][C][=Branch2][Ring2][#Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=C][C][=C][Branch2][Ring1][=Branch1][C][=C][Ring1][=Branch1][C][=C][Ring1][=Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O] MOFid-v2.UNKNOWN.cat0;LUFYUJ_ASR_pacman,6.9137,5.38472,6.69538,1.11735,1145.22,2194.54,1964.06,0.0,0.0,0.0,3255.3,0.6238,0.558285,0.0,0.0,3,unknown,unknown,1,3,P 32 2c (0 0 -1),153,Tb,No,,13.7703,0.722422669,0.808852488,0.850008961,255,445,0.64406633,0.78,strong,strong&stable
0000[Zn][nan]3[ASR]1,[O-]C(=O)c1cc(OCc2ccc(cc2)C(=O)[O-])cc(c1)OCc1ccc(cc1)C(=O)[O-].[OH].[Zn] MOFid-v1.unknown.cat0;am9b19583_si_001_ASR_pacman,[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch2][Ring1][C][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][=C][C][=Branch1][Ring2][=C][Ring1][P][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[OH1] MOFid-v2.UNKNOWN.cat0;am9b19583_si_001_ASR_pacman,7.23448,6.45356,7.23448,1.3658,241.607,875.967,641.36,0.0,0.0,0.0,1322.27,0.4794,0.351004,0.0,0.0,3,unknown,unknown,1,3,-P 2ybc,14,Zn,Yes,Zn,11.3425548,0.858531925,0.957253367,1.014543028,200,391.7,0.19375464,0.59,strong,strong&stable
0000[ZnSi][pcu]3[ASR]1,[Zn].n1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccncc1 MOFid-v1.sql.cat3;LIFWII_ASR_pacman,unknown,6.17439,5.21111,6.14572,0.9025,929.825,1532.82,1698.41,0.0,0.0,0.0,3591.14,0.592,0.655955,0.0,0.0,3,pcu,pcu,2,2,P 4ab 2n -1ab,130,"Zn,Si",No,,9.365995445,0.925164733,1.063225445,1.117448474,352,320.1,0.48673066,0.571052632,strong,strong&stable
0000[Zr][bcu]3[ASR]1,[O-]C(=O)C1=CC=C2C3([CH]1)N1N3[C]1C1=CC=C([CH]C31N1[C]2N31)C(=O)[O-].[O-]C(=O)C1=CC=C2C3([CH]1)N1N3[C]1[C]1C3(N4[C]2N34)C=C(C=C1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.bcu.cat0;BERZAD_ASR_pacman,[C8O24Zr6_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][Ring2][CH1][Ring1][=Branch1][N][N][Ring1][Ring2][CH0][Ring1][Ring1][C][=C][C][=C][Branch1][=C][CH1][C][Ring1][=Branch1][N][CH0][Ring1][=C][N][Ring1][Ring2][Ring1][Ring1][C][=Branch1][C][=O][O-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][Ring2][CH1][Ring1][=Branch1][N][N][Ring1][Ring2][CH0][Ring1][Ring1][CH0][C][Branch1][#Branch2][N][CH0][Ring1][#Branch2][N][Ring1][Ring2][Ring1][Ring1][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][O-1] MOFid-v2.bcu.cat0;BERZAD_ASR_pacman,14.08041,11.40835,14.08041,0.532685,1171.59,1929.01,3621.3,0.0,0.0,0.0,4942.63,0.8138,1.52773,1.2147,0.000375457,3,bcu,bcu,1,3,-I 4 2,139,Zr,Yes,Zr,14.53964299,0.720790908,0.794336697,0.872214153,134,355,0.7241615,0.81,superstrong_high_loading,strong&stable
2000[Zn][pts]3[ASR]1,[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Zn]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)C(=O)O)cc1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Zn]24n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)C(=O)[O-])cc1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O.[Zn] MOFid-v1.pts.cat1;WAWGOQ_ASR_pacman,unknown,10.47065,7.25578,10.12026,0.69282,1825.89,2075.69,2996.0,0.0,0.0,0.0,6185.73,0.7032,1.01498,0.0,0.0,3,pts,unknown,2,2,-C 2yc,15,Zn,Yes,Zn,10.42615955,0.862483038,0.962207486,1.026808645,352,437.6,0.91946864,0.55,strong,strong&stable
2001[Cu][nan]3[ASR]4,[Cu].[O-]C(=O)CN(CC(=O)[O-])CCN(CC(=O)[O-])CC(=O)[O-].n1ccc(cc1)c1ccncc1 MOFid-v1.ERROR.cat0;UCOXOZ_ASR_pacman,[C4Cu3O8_Type-2].[O-1][C][=Branch1][C][=O][C][N][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][C][N][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][C][=Branch1][C][=O][O-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1] MOFid-v2.ERROR.cat0;UCOXOZ_ASR_pacman,6.74048,6.09229,6.74048,1.02438,1065.07,1601.74,1563.62,10.0365,15.0936,14.7344,3876.63,0.583,0.569123,0.0,0.0,3,unknown,unknown,1,2,-C 2yc,15,Cu,Yes,Cu,9.76659619,0.914196769,1.005576144,1.048037172,420,275.4,0.43910038,0.535253259,strong,strong&stable
2002[Ce][pcu]3[ASR]1,[Ce].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-] MOFid-v1.pcu.cat0;LUCDIW_ASR_pacman,[C6Ce2O12_Type-2].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.pcu.cat0;LUCDIW_ASR_pacman,8.52461,6.17272,8.5162,0.822543,428.667,2301.13,2797.58,0.0,0.0,0.0,1342.75,0.7208,0.876306,0.0,0.0,3,pcu,pcu,1,3,-P 1,2,Ce,Yes,Ce,13.56989588,0.714038528,0.790075677,0.836496548,68,469.6,0.25513136,0.51,superstrong_high_loading,strong&stable
2002[Cr][bpq]3[ASR]1,[Cr].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[OH] MOFid-v1.rna.cat0;MINVUA_ASR_pacman,[Cr1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[OH1] MOFid-v2.rna.cat0;MINVUA_ASR_pacman,6.89591,6.55778,6.89518,1.0419,254.48,1712.35,1643.49,0.0,0.0,0.0,890.5,0.5992,0.575105,0.0,0.0,3,bpq,rna,1,3,-I 2b 2,74,Cr,No,,12.26938947,0.855939375,0.955665373,1.05593678,76,400.8,0.53492737,0.52,strong,strong&stable
2002[Eu][pcu]3[ASR]1,unknown,[C6Eu2O12_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.pcu.cat0;LUCDAO_ASR_pacman,8.53408,6.05824,8.194,0.856034,422.384,2300.64,2687.56,0.0,0.0,0.0,1317.84,0.7178,0.838519,0.0,0.0,3,pcu,pcu,1,2,-P 1,2,Eu,Yes,Eu,13.91836647,0.686648809,0.767604817,0.813724282,68,470.9,0.3456797,0.69,superstrong_high_loading,strong&stable
2002[Tb][pcu]3[ASR]1,[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[Tb] MOFid-v1.pcu.cat0;LUCDES_ASR_pacman,[C6O12Tb2_Type-2].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.pcu.cat0;LUCDES_ASR_pacman,8.51481,6.04534,8.51481,0.866707,422.445,2295.89,2648.98,0.0,0.0,0.0,1323.7,0.7194,0.830038,0.0,0.0,3,pcu,pcu,1,2,-P 1,2,Tb,Yes,Tb,14.12311206,0.677786125,0.760454805,0.807660123,68,314.7,0.6765791,0.74,superstrong_high_loading,strong&stable
2003[Cu][tcb]3[ASR]1,C(Cn1cncc1)CCn1cncc1.[Cu].[O-]C(=O)c1cccc(c1)C(=O)[O-] MOFid-v1.tcb.cat0;OLUCAZ_ASR_pacman,[C2Cu1O4_Type-1].[C][Branch1][=Branch2][C][N][C][=N][C][=C][Ring1][Branch1][C][C][N][C][=N][C][=C][Ring1][Branch1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.tcb.cat0;OLUCAZ_ASR_pacman,5.78843,5.17956,5.7854,1.16161,236.536,989.835,852.125,0.0,0.0,0.0,1214.9,0.5084,0.437669,0.0,0.0,3,tcb,tcb,1,3,P 2c -2n,33,Cu,Yes,Cu,9.286798222,0.963477875,1.066909675,1.111497541,180,296.1,0.1418446,0.960905172,strong,strong&stable
2003[CuEu][stp]3[ASR]1,[Cu].[Eu].[O-]C(=O)CNCC(=O)[O-] MOFid-v1.unknown.cat0;WUTBOC_ASR_pacman,[Cu1_Type-1].[Eu1_Type-1].[O-1][C][=Branch1][C][=O][C][N][C][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;WUTBOC_ASR_pacman,7.17175,4.98444,7.17175,1.90997,190.241,854.031,447.143,0.0,0.0,0.0,976.567,0.4384,0.229532,0.0,0.0,3,stp,stp,1,3,"-P 3 2""c",165,"Cu,Eu",No,,14.39423371,0.729678616,0.757059326,0.818544182,178,187.2,0.29708117,0.58,strong,strong&stable
2003[CuEu][stp]3[ASR]2,[Cu].[Eu].[O-]C(=O)CNCC(=O)[O-] MOFid-v1.unknown.cat0;WUTCAP_ASR_pacman,[Cu1_Type-1].[Eu1_Type-1].[O-1][C][=Branch1][C][=O][C][N][C][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;WUTCAP_ASR_pacman,7.16776,4.98308,7.16776,1.90582,187.291,838.959,440.209,0.0,0.0,0.0,981.82,0.4398,0.230767,0.0,0.0,3,stp,stp,1,3,"-P 3 2""c",165,"Cu,Eu",No,,14.39423371,0.729496964,0.756462146,0.816050928,178,187.2,0.29801035,0.58,strong,strong&stable
2003[CuNd][stp]3[ASR]1,[Cu].[Nd].[O-]C(=O)CNCC(=O)[O-] MOFid-v1.unknown.cat0;WUTBIW_ASR_pacman,[Cu1_Type-1].[Nd1_Type-1].[O-1][C][=Branch1][C][=O][C][N][C][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;WUTBIW_ASR_pacman,7.26683,5.05082,7.26683,1.84193,198.644,870.48,472.591,0.0,0.0,0.0,1000.43,0.4384,0.238011,0.0,0.0,3,stp,stp,1,3,"-P 3 2""c",165,"Cu,Nd",No,,14.22070562,0.743509127,0.770670439,0.828293198,178,193,0.31141275,0.53,strong,strong&stable
2004[Cr][reo]3[ASR]1,[Cr][O]([Cr])[Cr].[O-]C(=O)c1ccc(cc1)C(=O)[O-] MOFid-v1.reo-e.cat0;IZEPAF_ASR_pacman,[C6Cr3O13_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.reo-e.cat0;IZEPAF_ASR_pacman,24.10039,7.53546,24.10039,0.570649,4539.21,1956.73,3428.97,0.0,0.0,0.0,18131.5,0.7816,1.36967,0.0,0.0,3,reo-e,reo-e,1,2,-P 4 2 3,221,Cr,Yes,Cr,12.77562654,0.821276226,0.915841675,1.019909129,624,292.3,0.8736025,0.54,strong,strong&stable
2004[Cu][nbo]3[ASR]1,Nc1ncnc2c1N=C[N]2.[Cu].[Cu][Cu] MOFid-v1.unknown.cat0;XACZEH_ASR_pacman,unknown,10.61547,7.24309,10.61547,1.18823,399.501,985.72,829.568,28.9025,71.3134,60.0163,2471.45,0.6098,0.513199,0.0,0.0,3,nbo,nbo,1,3,-R 3,148,Cu,Yes,Cu,13.42634778,0.787456693,0.883086766,0.949241979,216,314.1,0.93175924,0.808125,strong,strong&stable
2004[Cu][nbo]3[FSR]1,Nc1ncnc2c1N=C[N]2.[OH2][Cu].[OH2][Cu][Cu][OH2] MOFid-v1.unknown.cat0;XACZEH_FSR_pacman,,10.16562,7.24309,10.16562,1.27681,385.291,950.66,744.561,27.8005,68.5944,53.7235,2278.53,0.5622,0.440318,0.0,0.0,3,nbo,nbo,1,3,-R 3,148,Cu,Yes,Cu,12.36616857,0.824108366,0.938225344,0.993508054,252,304.8,0.9085486,0.636834677,strong,strong&stable
2005[Co][nan]3[FSR]4,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-].[OH2][Co] MOFid-v1.unknown.cat0;NAVJAW_FSR_pacman,,9.42638,8.22062,9.42638,1.31103,195.831,1480.99,1129.64,0.0,0.0,0.0,778.57,0.5888,0.449113,0.0,0.0,3,unknown,unknown,1,3,-P 1,2,Co,No,,14.49978458,0.782385785,0.854266062,0.912827052,72,290.1,0.9016129,0.53,strong,strong&stable
2005[CuSm][stp]3[ASR]1,[Cu].[O-]C(=O)CNCC(=O)[O-].[Sm] MOFid-v1.unknown.cat0;JEBCOJ_ASR_pacman,[Cu1_Type-1].[Sm1_Type-1].[O-1][C][=Branch1][C][=O][C][N][C][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;JEBCOJ_ASR_pacman,7.20522,5.05115,7.20522,1.89362,191.56,854.73,451.374,0.0,0.0,0.0,998.221,0.4454,0.235211,0.0,0.0,3,stp,stp,1,3,"-P 3 2""c",165,"Cu,Sm",No,,14.35818876,0.736097144,0.769942156,0.824786317,178,188,0.30894172,0.57,strong,strong&stable
2005[Nd][pcu]3[ASR]1,[Nd].[O-]C(=O)c1cc(N)c(c(c1N)N)C(=O)[O-] MOFid-v1.ERROR.cat0;KAVJEX_ASR_pacman,[C12Nd3O24_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][Branch1][C][N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][#Branch1][N][N][C][=Branch1][C][=O][O-1] MOFid-v2.ERROR.cat0;KAVJEX_ASR_pacman,8.72593,5.24836,8.72593,1.15629,1743.81,1798.72,1555.6,0.0,0.0,0.0,5979.71,0.6168,0.533432,0.0,0.0,3,pcu,pcu,1,3,-I 2b 2c 3,206,Nd,No,,12.501328,0.774557012,0.867125343,0.906766718,540,268.6,0.9819343,0.89,strong,strong&stable
2005[Tb][nan]3[ASR]1,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Tb] MOFid-v1.rnb.cat0;FIJFEK_ASR_pacman,[Zn1_Type-1].[Zn2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[OH1] MOFid-v2.UNKNOWN.cat0;FIJCUX01_ASR_pacman,6.92559,6.57184,6.92559,1.58281,237.901,1548.76,978.488,0.0,0.0,0.0,862.965,0.5618,0.354939,0.0,0.0,3,unknown,rnb,1,3,-P 2ybc,14,Tb,No,,19.26536158,0.573475012,0.629645135,0.673797274,76,482.8,0.93958503,0.788518519,superstrong_high_loading,strong&stable
